N,Naive,NaiveC,BlockedC,BlockedOMP,BlockedOMPTuning,Numpy
50,0.005243408002570504,7.51430015952792e-05,2.589900032035075e-05,0.004044894998514792,0.013720647002628539,3.2551997719565406e-05
100,0.04348859099991387,0.00023894499827292748,0.00010225500227534212,0.003945385000406532,0.01521870999931707,5.1367998821660876e-05
150,0.13768057899869746,0.000741853000363335,0.00030858799800626,0.003698976001032861,0.009729484001582023,0.003888256000209367
200,0.3490822890016716,0.0020530399997369386,0.0008076580015767831,0.0031464630010304973,0.003968680000980385,0.004031709999253508
250,0.6520883949997369,0.003913784999895142,0.0012644389971683268,0.0031406830021296628,0.01315482900099596,0.00529100900166668
300,1.1850336269999389,0.007000866000453243,0.002388290002272697,0.0040916340003605,0.005362494997825706,0.011519502997543896
350,1.902360685999156,0.011279755999566987,0.003530095000314759,0.0031758889999764506,0.0007063449993438553,0.008016169998882106
400,2.8682764479999605,0.025311093999334844,0.005683356001100037,0.0035964710004918743,0.008901134999177884,0.010702256000513444
600,,0.09115622000172152,0.0142780970018066,0.0062549149988626596,0.010888691002037376,0.011423309999372577
800,,0.19771658399986336,0.04323681000096258,0.011515917001815978,0.007168555002863286,0.008477198000036879
1000,,0.4202218749996973,0.09253796199845965,0.01691691399901174,0.007257564997416921,0.01293112200073665
1200,,0.7042865859984886,0.1425913759994728,0.024934567001764663,0.013819343999784905,0.012029143999825465
1400,,1.2172830140007136,0.1520793980016606,0.0419330059994536,0.017986932998610428,0.017625844997382956
1600,,2.0148920500032546,0.3687963860029413,0.07563446100175497,0.01813446300002397,0.01983004300200264
1800,,,0.5053216619999148,0.08495467399916379,0.02589597699989099,0.02274206000220147
2000,,,0.4593308440016699,0.12624551499902736,0.03354422600023099,0.024021367000386817
2200,,,,0.1424853090029501,0.04848889200002304,0.0338864180012024
2400,,,,0.1859039329974621,0.06521122599951923,0.039075371001672465
2600,,,,0.22436135599855334,0.07909150500199758,0.05123240900138626
2800,,,,0.2789761460007867,0.1004705270024715,0.057076089000474894
3000,,,,0.347105136999744,0.11523817700071959,0.07179855199865415
3200,,,,1.0367029890003323,0.14128116100255284,0.08002546200077632
3400,,,,0.49608401500154287,0.1666973740029789,0.09169956799814827
3600,,,,0.5938131430011708,0.19872824299818603,0.1365349990010145
3800,,,,0.6994712220002839,0.21739066800000728,0.12726930799908587
4000,,,,0.844305558999622,0.26759911100089084,0.1588219669974933
